                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1519,                0.94152,                 1.0565,                0.91435,                0.85783,                0.94749,                0.77489,                 0.9986,                0.88565,                 1.0285,             0.00067104,             0.00067104,             0.00067104
                    122,                 1.1826,                0.96433,                 1.0962,                0.92869,                0.86522,                0.95148,                0.74557,                 1.0144,                0.88325,                 1.0261,             0.00066738,             0.00066738,             0.00066738
                    123,                 1.2294,                0.93226,                 1.0858,                0.92869,                0.86522,                0.95148,                0.74557,                 1.0144,                0.88325,                 1.0261,             0.00066371,             0.00066371,             0.00066371
                    124,                 1.1993,                0.91167,                 1.0358,                0.91979,                0.90335,                0.96188,                0.76077,                 1.0062,                0.85828,                 1.0283,             0.00066005,             0.00066005,             0.00066005
                    125,                 1.1663,                 0.9492,                 1.0665,                0.91979,                0.90335,                0.96188,                0.76077,                 1.0062,                0.85828,                 1.0283,             0.00065638,             0.00065638,             0.00065638
                    126,                 1.1299,                0.95689,                 1.0708,                0.93136,                0.89062,                0.96877,                 0.7739,                0.97017,                0.84367,                 1.0219,             0.00065271,             0.00065271,             0.00065271
                    127,                 1.3546,                 1.0081,                 1.0588,                0.93136,                0.89062,                0.96877,                 0.7739,                0.97017,                0.84367,                 1.0219,             0.00064905,             0.00064905,             0.00064905
                    128,                 1.1602,                0.90994,                 1.0905,                0.94456,                0.88391,                0.97163,                0.78851,                0.94329,                0.85679,                 1.0108,             0.00064538,             0.00064538,             0.00064538
                    129,                 1.1099,                0.90021,                 1.0727,                0.94456,                0.88391,                0.97163,                0.78851,                0.94329,                0.85679,                 1.0108,             0.00064171,             0.00064171,             0.00064171
                    130,                 1.1846,                 1.0278,                 1.0492,                0.94178,                 0.8867,                0.96968,                0.77894,                0.96277,                0.89498,                 1.0166,             0.00063805,             0.00063805,             0.00063805
                    131,                 1.1699,                 1.1073,                 1.1032,                0.94178,                 0.8867,                0.96968,                0.77894,                0.96277,                0.89498,                 1.0166,             0.00063438,             0.00063438,             0.00063438
                    132,                 1.2925,                0.97224,                 1.0135,                0.93104,                0.89462,                0.96514,                 0.7692,                 1.0341,                0.93189,                 1.0286,             0.00063071,             0.00063071,             0.00063071
                    133,                 1.1318,                0.89683,                 1.0753,                0.93104,                0.89462,                0.96514,                 0.7692,                 1.0341,                0.93189,                 1.0286,             0.00062705,             0.00062705,             0.00062705
                    134,                 1.1594,                0.91907,                 1.0493,                 0.8729,                 0.9422,                0.97535,                0.76969,                 1.0003,                 0.9044,                 1.0248,             0.00062338,             0.00062338,             0.00062338
                    135,                 1.1274,                0.89742,                 1.0836,                 0.8729,                 0.9422,                0.97535,                0.76969,                 1.0003,                 0.9044,                 1.0248,             0.00061972,             0.00061972,             0.00061972
                    136,                 1.1848,                0.93161,                  1.039,                0.93559,                 0.9049,                0.97822,                0.78344,                0.98019,                0.83809,                 1.0528,             0.00061605,             0.00061605,             0.00061605
                    137,                 1.0388,                0.86398,                 1.0766,                0.93559,                 0.9049,                0.97822,                0.78344,                0.98019,                0.83809,                 1.0528,             0.00061238,             0.00061238,             0.00061238
                    138,                 1.0558,                 0.9033,                 1.0657,                0.92874,                0.90532,                0.97926,                0.79938,                0.93001,                0.81224,                  1.039,             0.00060872,             0.00060872,             0.00060872
                    139,                 1.1652,                 1.0002,                 1.1144,                0.92874,                0.90532,                0.97926,                0.79938,                0.93001,                0.81224,                  1.039,             0.00060505,             0.00060505,             0.00060505
                    140,                 1.2652,                  1.129,                 1.0894,                 0.9558,                0.91614,                0.97007,                0.77134,                 1.0028,                0.84452,                  1.006,             0.00060138,             0.00060138,             0.00060138
                    141,                 1.1722,                0.93945,                 1.0231,                 0.9558,                0.91614,                0.97007,                0.77134,                 1.0028,                0.84452,                  1.006,             0.00059772,             0.00059772,             0.00059772
                    142,                 1.1192,                0.90012,                 1.0544,                0.89223,                0.93942,                0.97217,                0.75179,                 1.0375,                0.88491,                 1.0126,             0.00059405,             0.00059405,             0.00059405
                    143,                 1.1143,                0.90552,                 1.0408,                0.89223,                0.93942,                0.97217,                0.75179,                 1.0375,                0.88491,                 1.0126,             0.00059039,             0.00059039,             0.00059039
                    144,                  1.087,                0.90546,                 1.0369,                0.89819,                0.94348,                0.97224,                0.78869,                0.98577,                0.84071,                 1.0056,             0.00058672,             0.00058672,             0.00058672
                    145,                 1.2029,                0.95269,                 1.0243,                0.89819,                0.94348,                0.97224,                0.78869,                0.98577,                0.84071,                 1.0056,             0.00058305,             0.00058305,             0.00058305
                    146,                 1.0892,                0.88104,                 1.0338,                 0.9453,                0.92115,                0.98037,                0.77904,                 1.0376,                0.82238,                 1.0032,             0.00057939,             0.00057939,             0.00057939
                    147,                 1.1453,                 0.9651,                  1.089,                 0.9453,                0.92115,                0.98037,                0.77904,                 1.0376,                0.82238,                 1.0032,             0.00057572,             0.00057572,             0.00057572
                    148,                 1.0094,                0.83316,                 1.0457,                0.93806,                0.94371,                0.98258,                0.77669,                0.99188,                0.80235,                  0.995,             0.00057205,             0.00057205,             0.00057205
                    149,                 1.1267,                0.89998,                 1.0376,                0.93806,                0.94371,                0.98258,                0.77669,                0.99188,                0.80235,                  0.995,             0.00056839,             0.00056839,             0.00056839
