                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.3427,                 1.0056,                 1.0789,                0.90839,                0.84629,                0.95844,                0.71394,                 1.1131,                0.91505,                 1.0804,              0.0009181,              0.0009181,              0.0009181
                    116,                 1.1648,                0.93095,                 1.1302,                0.94299,                0.78068,                0.95522,                0.74727,                 1.0463,                0.94615,                 1.0533,              0.0009164,              0.0009164,              0.0009164
                    117,                 1.2082,                 0.9754,                 1.0976,                0.94299,                0.78068,                0.95522,                0.74727,                 1.0463,                0.94615,                 1.0533,             0.00091471,             0.00091471,             0.00091471
                    118,                 1.2029,                0.94917,                 1.0824,                 0.8203,                0.86929,                0.94205,                0.72879,                 1.0641,                 0.9472,                 1.1009,             0.00091302,             0.00091302,             0.00091302
                    119,                 1.2004,                0.94458,                 1.1294,                 0.8203,                0.86929,                0.94205,                0.72879,                 1.0641,                 0.9472,                 1.1009,             0.00091133,             0.00091133,             0.00091133
                    120,                 1.2462,                0.99633,                 1.0916,                0.84203,                0.83654,                0.94889,                0.73094,                 1.0955,                0.91301,                 1.1381,             0.00090964,             0.00090964,             0.00090964
                    121,                 1.1942,                0.96669,                 1.1571,                0.84203,                0.83654,                0.94889,                0.73094,                 1.0955,                0.91301,                 1.1381,             0.00090794,             0.00090794,             0.00090794
                    122,                 1.2488,                 1.0087,                 1.1944,                0.80374,                0.95413,                0.96333,                0.76246,                 1.0234,                0.85714,                 1.0623,             0.00090625,             0.00090625,             0.00090625
                    123,                 1.2545,                 1.0239,                 1.0781,                0.80374,                0.95413,                0.96333,                0.76246,                 1.0234,                0.85714,                 1.0623,             0.00090456,             0.00090456,             0.00090456
                    124,                 1.1079,                0.92243,                 1.0696,                0.91571,                0.95941,                0.96779,                0.77684,                0.94388,                 0.7956,                 1.0288,             0.00090287,             0.00090287,             0.00090287
                    125,                 1.3484,                0.95071,                 1.0653,                0.91571,                0.95941,                0.96779,                0.77684,                0.94388,                 0.7956,                 1.0288,             0.00090117,             0.00090117,             0.00090117
                    126,                 1.1439,                0.88511,                 1.1057,                0.92189,                0.92806,                0.97631,                0.77888,                0.99199,                0.78448,                 1.0325,             0.00089948,             0.00089948,             0.00089948
                    127,                 1.2512,                0.93831,                 1.0424,                0.92189,                0.92806,                0.97631,                0.77888,                0.99199,                0.78448,                 1.0325,             0.00089779,             0.00089779,             0.00089779
                    128,                 1.1569,                0.93251,                 1.0863,                0.88262,                0.93118,                0.97562,                0.78302,                 1.0031,                0.78644,                 1.0241,              0.0008961,              0.0008961,              0.0008961
                    129,                 1.0953,                0.91188,                 1.0427,                0.88262,                0.93118,                0.97562,                0.78302,                 1.0031,                0.78644,                 1.0241,             0.00089441,             0.00089441,             0.00089441
                    130,                 1.0891,                0.86648,                 1.0525,                0.83026,                0.92521,                0.98045,                0.77901,                 1.0303,                0.82804,                 1.0296,             0.00089271,             0.00089271,             0.00089271
                    131,                 1.1982,                0.97286,                 1.0707,                0.83026,                0.92521,                0.98045,                0.77901,                 1.0303,                0.82804,                 1.0296,             0.00089102,             0.00089102,             0.00089102
                    132,                 1.0905,                0.89649,                 1.0576,                0.85648,                0.88945,                0.97996,                0.75241,                  1.058,                 0.8886,                 1.0447,             0.00088933,             0.00088933,             0.00088933
                    133,                 1.0724,                0.90289,                  1.075,                0.85648,                0.88945,                0.97996,                0.75241,                  1.058,                 0.8886,                 1.0447,             0.00088764,             0.00088764,             0.00088764
